RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Micro-averaged Precision,500,10,2,0.4,0.75,,0.0887,0.2179,0.3906,0.7510,0.4166,0.5359,0.3871,0.1957,0.2041,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Micro-averaged Precision,500,5,2,0.4,1.0,,0.0127,0.2303,0.3374,0.7495,0.3567,0.4833,0.1783,0.1453,0.1269,

RDTLabel,Best Micro-averaged Recall,500,35,2,,,,0.1927,0.2077,0.5245,0.6642,0.6317,0.6475,0.4614,0.3674,0.3414,
RDTPercentage,Best Micro-averaged Recall,500,35,2,,,,0.0760,0.2121,0.4052,0.7614,0.4333,0.5523,0.4203,0.2076,0.2257,
RDTLabelPowerset,Best Micro-averaged Recall,500,20,2,,,,0.1960,0.2374,0.4795,0.6135,0.5782,0.5953,0.3889,0.3617,0.3622,
RDTChainLabel,Best Micro-averaged Recall,500,30,2,0.05,,,0.2027,0.2063,0.5294,0.6669,0.6331,0.6496,0.3978,0.3688,0.3424,
RDTChainPercentage,Best Micro-averaged Recall,500,50,2,0.35,,,0.2067,0.2191,0.5099,0.6466,0.6053,0.6253,0.4004,0.3501,0.3173,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Micro-averaged Recall,500,30,2,0.4,0.0,,0.1047,0.2341,0.4697,0.6150,0.6014,0.6081,0.3788,0.3354,0.2921,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Micro-averaged Recall,500,40,2,0.4,0.25,,0.1200,0.2318,0.4743,0.6207,0.5981,0.6092,0.3910,0.3316,0.2876,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Micro-averaged Recall,500,20,2,0.4,0.5,,0.1613,0.2222,0.4950,0.6397,0.6052,0.6219,0.3409,0.3392,0.3000,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Micro-averaged Recall,500,30,2,0.4,0.75,,0.1933,0.2191,0.5080,0.6449,0.6108,0.6274,0.4063,0.3486,0.3116,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Micro-averaged Recall,500,40,2,0.4,1.0,,0.1953,0.2253,0.5015,0.6339,0.6008,0.6169,0.3973,0.3463,0.3081,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Micro-averaged Recall,500,45,2,0.4,0.0,,0.0127,0.2311,0.3346,0.7481,0.3540,0.4806,0.1783,0.1430,0.1225,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Micro-averaged Recall,500,15,2,0.4,0.25,,0.0147,0.2300,0.3387,0.7499,0.3579,0.4846,0.2497,0.1464,0.1291,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Micro-averaged Recall,500,15,2,0.4,0.5,,0.0533,0.2226,0.3652,0.7584,0.3857,0.5113,0.3546,0.1703,0.1708,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Micro-averaged Recall,500,20,2,0.4,0.75,,0.1720,0.2109,0.4767,0.6917,0.5445,0.6093,0.4246,0.2975,0.2890,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Micro-averaged Recall,500,40,2,0.4,1.0,,0.1967,0.2251,0.5014,0.6347,0.5998,0.6168,0.3975,0.3455,0.3077,

RDTLabel,Best Micro-averaged F-Measure,500,35,2,,,,0.1927,0.2077,0.5245,0.6642,0.6317,0.6475,0.4614,0.3674,0.3414,
RDTPercentage,Best Micro-averaged F-Measure,500,35,2,,,,0.0760,0.2121,0.4052,0.7614,0.4333,0.5523,0.4203,0.2076,0.2257,
RDTLabelPowerset,Best Micro-averaged F-Measure,500,20,2,,,,0.1960,0.2374,0.4795,0.6135,0.5782,0.5953,0.3889,0.3617,0.3622,
RDTChainLabel,Best Micro-averaged F-Measure,500,35,2,0.1,,,0.2000,0.2059,0.5295,0.6682,0.6325,0.6498,0.4081,0.3683,0.3420,
RDTChainPercentage,Best Micro-averaged F-Measure,500,35,2,0.25,,,0.2053,0.2030,0.5092,0.6962,0.5818,0.6339,0.4191,0.3306,0.3246,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Micro-averaged F-Measure,500,30,2,0.4,0.0,,0.1047,0.2341,0.4697,0.6150,0.6014,0.6081,0.3788,0.3354,0.2921,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Micro-averaged F-Measure,500,20,2,0.4,0.25,,0.1373,0.2275,0.4809,0.6301,0.5971,0.6132,0.4035,0.3304,0.2880,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Micro-averaged F-Measure,500,20,2,0.4,0.5,,0.1613,0.2222,0.4950,0.6397,0.6052,0.6219,0.3409,0.3392,0.3000,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Micro-averaged F-Measure,500,30,2,0.4,0.75,,0.1933,0.2191,0.5080,0.6449,0.6108,0.6274,0.4063,0.3486,0.3116,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Micro-averaged F-Measure,500,40,2,0.4,1.0,,0.1953,0.2253,0.5015,0.6339,0.6008,0.6169,0.3973,0.3463,0.3081,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Micro-averaged F-Measure,500,45,2,0.4,0.0,,0.0127,0.2311,0.3346,0.7481,0.3540,0.4806,0.1783,0.1430,0.1225,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Micro-averaged F-Measure,500,15,2,0.4,0.25,,0.0147,0.2300,0.3387,0.7499,0.3579,0.4846,0.2497,0.1464,0.1291,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Micro-averaged F-Measure,500,15,2,0.4,0.5,,0.0533,0.2226,0.3652,0.7584,0.3857,0.5113,0.3546,0.1703,0.1708,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Micro-averaged F-Measure,500,20,2,0.4,0.75,,0.1720,0.2109,0.4767,0.6917,0.5445,0.6093,0.4246,0.2975,0.2890,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Micro-averaged F-Measure,500,40,2,0.4,1.0,,0.1967,0.2251,0.5014,0.6347,0.5998,0.6168,0.3975,0.3455,0.3077,

RDTLabel,Best Macro-averaged Precision,500,35,2,,,,0.1927,0.2077,0.5245,0.6642,0.6317,0.6475,0.4614,0.3674,0.3414,
RDTPercentage,Best Macro-averaged Precision,500,35,2,,,,0.0760,0.2121,0.4052,0.7614,0.4333,0.5523,0.4203,0.2076,0.2257,
RDTLabelPowerset,Best Macro-averaged Precision,500,20,2,,,,0.1960,0.2374,0.4795,0.6135,0.5782,0.5953,0.3889,0.3617,0.3622,
RDTChainLabel,Best Macro-averaged Precision,500,25,2,0.3,,,0.2153,0.2156,0.5187,0.6512,0.6161,0.6331,0.5348,0.3587,0.3267,
RDTChainPercentage,Best Macro-averaged Precision,500,30,2,0.05,,,0.0933,0.2101,0.4135,0.7629,0.4415,0.5593,0.4867,0.2150,0.2359,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Macro-averaged Precision,500,20,2,0.4,0.0,,0.1107,0.2329,0.4691,0.6196,0.5930,0.6060,0.3901,0.3266,0.2810,
