RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Macro-averaged Precision,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Macro-averaged Precision,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Macro-averaged Precision,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Macro-averaged Precision,500,30,2,0.4,1.0,,0.4472,0.0552,0.4495,1.0000,0.0088,0.0174,0.1053,0.0038,0.0073,

RDTLabel,Best Macro-averaged Recall,500,25,2,,,,0.3292,0.0626,0.4428,0.4360,0.4194,0.4275,0.3797,0.2488,0.2521,
RDTPercentage,Best Macro-averaged Recall,500,45,2,,,,0.4534,0.0541,0.4658,0.7500,0.0440,0.0831,0.0803,0.0178,0.0290,
RDTLabelPowerset,Best Macro-averaged Recall,500,25,2,,,,0.4627,0.0505,0.5043,0.7051,0.1613,0.2625,0.6083,0.1638,0.2463,
RDTChainLabel,Best Macro-averaged Recall,500,45,2,0.05,,,0.3509,0.0628,0.4566,0.4330,0.4076,0.4199,0.3095,0.2328,0.2377,
RDTChainPercentage,Best Macro-averaged Recall,500,35,2,0.05,,,0.4503,0.0539,0.4630,0.8667,0.0381,0.0730,0.0912,0.0148,0.0253,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Macro-averaged Recall,500,25,2,0.4,0.0,,0.0311,0.0943,0.1402,0.2479,0.3402,0.2868,0.2469,0.1462,0.1069,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Macro-averaged Recall,500,35,2,0.4,0.25,,0.0311,0.0927,0.1408,0.2543,0.3431,0.2921,0.2352,0.1478,0.1082,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Macro-averaged Recall,500,50,2,0.4,0.5,,0.0311,0.0909,0.1434,0.2616,0.3460,0.2980,0.2290,0.1525,0.1210,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Macro-averaged Recall,500,35,2,0.4,0.75,,0.0559,0.0866,0.1539,0.2755,0.3402,0.3045,0.1983,0.1486,0.1196,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Macro-averaged Recall,500,40,2,0.4,1.0,,0.3602,0.0618,0.4523,0.4302,0.3343,0.3762,0.2529,0.1607,0.1628,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Macro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Macro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Macro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Macro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
